"","original_code","code_level","code","sector","borderline"
"275","Preparation of textiles, n.e.c.",5,13119,"not in scope",FALSE
"276","Weaving of textiles",5,13120,"not in scope",FALSE
"277","Finishing of textiles",5,13130,"not in scope",FALSE
"278","Preparation and finishing of textiles (integrated)",5,13140,"not in scope",FALSE
"279","Manufacture of knitted and crocheted fabrics",5,13910,"not in scope",FALSE
"280","Manufacture of textile industrial bags",5,13921,"not in scope",FALSE
"281","Manufacture of made-up textile goods for house furnishings",5,13922,"not in scope",FALSE
"282","Manufacture of canvas products",5,13923,"not in scope",FALSE
"283","Manufacture of made-up textile articles, except wearing apparel, n.e.c.",5,13929,"not in scope",FALSE
"284","Manufacture of carpets and rugs, except mats of textile materials",5,13931,"not in scope",FALSE
"285","Manufacture of mats (including mattings) of textile materials",5,13932,"not in scope",FALSE
"286","Manufacture of cordage, rope, and twine",5,13941,"not in scope",FALSE
"287","Manufacture of fishing nets and other nettings, (excluding mosquito and hairnets)",5,13942,"not in scope",FALSE
"288","Manufacture of products of cordage, rope and twine products",5,13943,"not in scope",FALSE
"289","Manufacture of embroidered fabrics",5,13950,"not in scope",FALSE
"290","Manufacture of narrow fabrics, laces, tulles and other net fabrics",5,13991,"not in scope",FALSE
"291","Manufacture of felt and non-woven fabrics",5,13992,"not in scope",FALSE
"292","Manufacture of fabrics, impregnated, coated, covered or laminated with plastic",5,13993,"not in scope",FALSE
"293","Manufacture of fabrics, impregnated, coated, covered or laminated other than with plastic and rubber",5,13994,"not in scope",FALSE
"294","Manufacture of fabrics for industrial use (wicks and gas mantles)",5,13995,"not in scope",FALSE
"295","Manufacture of fiber batting, padding and upholstery filling including coir",5,13996,"not in scope",FALSE
"296","Manufacture of miscellaneous textiles, n.e.c.",5,13999,"not in scope",FALSE
"297","Men's and boys' garment manufacturing",5,14110,"not in scope",FALSE
"298","Women's and girls' and babies' garment manufacturing",5,14120,"not in scope",FALSE
"299","Ready-made embroidered garments manufacturing",5,14130,"not in scope",FALSE
"300","Manufacture of raincoats by cutting or sewing except rubber or plastics",5,14191,"not in scope",FALSE
"301","Manufacture of hats, gloves, handkerchiefs, neckwear and belts regardless of material",5,14192,"not in scope",FALSE
"302","Manufacture of wearing apparel, n.e.c",5,14199,"not in scope",FALSE
"303","Custom tailoring",5,14210,"not in scope",FALSE
"304","Custom dressmaking",5,14220,"not in scope",FALSE
"305","Manufacture of knitted and crocheted apparel",5,14301,"not in scope",FALSE
"306","Manufacture of knitted or crocheted hosiery, underwear and outerwear when knitted or crocheted directly into shape",5,14302,"not in scope",FALSE
"307","Manufacture of knitted and crocheted articles, n.e.c.",5,14309,"not in scope",FALSE
"308","Manufacture of articles of fur",5,14400,"not in scope",FALSE
"309","Tanning and dressing of leather",5,15110,"not in scope",FALSE
"310","Manufacture of luggage, handbags and wallets of leather and imitation leather",5,15121,"not in scope",FALSE
"311","Manufature of products of leather and imitation leather, n.e.c.",5,15129,"not in scope",FALSE
"312","Manufacture of leather shoes",5,15210,"not in scope",FALSE
"313","Manufacture of rubber shoes",5,15220,"not in scope",FALSE
"314","Manufacture of plastic shoes",5,15230,"not in scope",FALSE
"315","Manufacture of shoes made of textile materials with applied soles",5,15240,"not in scope",FALSE
"316","Manufacture of wooden footwear and accessories",5,15250,"not in scope",FALSE
"317","Manufacture of rubber slippers",5,15291,"not in scope",FALSE
"318","Manufacture of slippers and sandals, other than rubber",5,15292,"not in scope",FALSE
"319","Manufacture of leather parts of footwear",5,15293,"not in scope",FALSE
"320","Manufacture of other footwear, n.e.c.",5,15299,"not in scope",FALSE
"321","Manufacture of rough lumber",5,16101,"not in scope",FALSE
"322","Manufacture of worked lumber",5,16102,"not in scope",FALSE
"323","Wood preserving and drying",5,16103,"not in scope",FALSE
"324","Sawmilling and planing of wood products, n.e.c.",5,16109,"not in scope",FALSE
"325","Manufacture of veneer sheets and plywood",5,16211,"not in scope",FALSE
"326","Manufacture of laminboard, particle board and other panels and board",5,16212,"not in scope",FALSE
"327","Manufacture of wooden window and door screens, shades and venetian blinds",5,16220,"not in scope",FALSE
"328","Manufacture of other builders' carpentry and joinery; millworking",5,16230,"not in scope",FALSE
"329","Manufacture of wooden containers",5,16240,"not in scope",FALSE
"330","Manufacture of wood carvings",5,16250,"not in scope",FALSE
"331","Manufacture of charcoal outside the forest",5,16260,"not in scope",FALSE
"332","Manufacture of wooden wares",5,16270,"not in scope",FALSE
"333","Manufacture of rattan and cane containers",5,16281,"not in scope",FALSE
